name,rating,price,review,brand,link,user_id
"Brooklyn Biltong - Air Dried Grass Fed Beef Snack, South African Beef Jerky - Whole30 Approved, Paleo, Keto, Gluten Free, Sugar Free, Made in USA - 2 oz. Bags, 3 Count (Original)",3.6,18.99,36,Visit the Brooklyn Biltong Store,https://www.amazon.com,B074P8QVR8
"Braaitime Biltong - South African Seasoned Dried Beef Jerky Sliced - Original, 16oz",3.5,29.99,389,Brand: Braaitime,https://www.amazon.com,B00GUZ2G8S
"Jack Link’s Beef Jerky, Original, (2) 9 oz. Bags – Great Everyday Snack, 11g of Protein and 80 Calories, 0.92 Ounce (20 Count) - Great Protein Snack, Meat Stick with 5g of Protein",4,,1 rating,Visit the Jack Links Store,https://www.amazon.com,B08FRMVGR3
"Variety Pack Kalahari Biltong, Air-Dried Thinly Sliced Beef, 2oz (Pack of 3), Sugar Free, Gluten Free, Keto & Paleo, High Protein Snack",4.1,19.5,701,Visit the Kalahari Biltong Store,https://www.amazon.com,B078XMLGH3
"Brooklyn Biltong - Air Dried Grass Fed Beef Snack, South African Beef Jerky - Whole30 Approved, Paleo, Keto, Gluten Free, Sugar Free, - 2 oz. Bags, 4 Count (Variety Pack)",3.7,24.99,660,Visit the Brooklyn Biltong Store,https://www.amazon.com,B07JMH51DV
"Righteous Felon Air Dried Biltong Beef Snack | KETO and PALEO | Gluten Free + High Protein | Hormone Free All Natural Biltong with No Artificial Flavors, Antibiotics or Preservatives - 2 Pack",4.2,12.99,158,Visit the Righteous Felon Store,https://www.amazon.com,B083C4P8H1
Bledie Lekker Beef Biltong Chunks 8oz,4,23.99,165,Brand: Bledie Lekker,https://www.amazon.com,B00UDBFSSK
"Original Kalahari Biltong, Air-Dried Thinly Sliced Beef, 2oz (Pack of 3), Sugar Free, Gluten Free, Keto & Paleo, High Protein Snack",4,20.5,681,Visit the Kalahari Biltong Store,https://www.amazon.com,B07CZYYSRK
"Ayoba Spicy Biltong - Grass Fed, Keto and Paleo Certified Air-Dried Beef Snack - Better Than Jerky Tender Steak Cuts - Whole 30 Approved, No Sugar, Gluten Free, No Nitrates (4 Ounce)",4.1,13.49,538,Visit the Ayoba Store,https://www.amazon.com,B01776BNDC
"Boikeys Biltong | South African Style Beef Jerky. Keto friendly. (Traditional, 3 pack)",4.1,23.3,204,Brand: Boikey's,https://www.amazon.com,B07RDMC82K
"Ayoba Biltong - Grass Fed, Keto and Paleo Certified Air-Dried Beef Snack - Better Than Jerky Tender Steak Cuts - Whole 30 Approved, No Sugar, Gluten Free, No Nitrates (4 Ounce)",4.1,13.49,963,Visit the Ayoba Store,https://www.amazon.com,B018GRLYTO
"PREVAIL Jerky Lemongrass Beef Jerky | 3 Pack | Certified Gluten-Free, Paleo-Certified, 100% Grass-Fed & Grass-Finished, Low-Sodium, Soy-Free, Allergy-Friendly | 12g Protein",4.5,21.99,2,Visit the PREVAIL. Store,https://www.amazon.com,B07TYJMPP2
"SimpliMEAT Original All NATURAL Biltong , 8oz Air-Dried Gluten-Free, Sugar-Free, Dairy-Free, Paleo, Keto MSG FREE & Made in the USA",4.1,17,2,Brand: SimpliMEAT,https://www.amazon.com,B07J26D2DV
"Braaitime - Droewors, South African Dried Beef Sausage - Original, 16oz",3.9,29.99,222,Brand: Braaitime,https://www.amazon.com,B00LHYY6JO
"Baja Beef Jerky Variety Pack | Keto Friendly, Gluten Free, Low Calorie, Craft Jerky | 25g Protein, 100% All-Natural Beef, No Nitrates | 8 pack 1 Oz Bags",4.3,24.99,98,Visit the BAJA BEEF Store,https://www.amazon.com,B086WPY74V
Droewors - Dried Beef Sausage - 8 oz,4.2,16.99,109,Brand: Braaitime,https://www.amazon.com,B00E5NLTPS
Bledie Lekker Droewors (Dried Sausage) 8oz,4.4,17.02,132,Brand: Bledie Lekker,https://www.amazon.com,B000E48IXS
"Tillamook Country Smoker Zero Sugar Black Pepper Keto Friendly Beef Jerky, 2.2 Ounce (Pack of 1)",4.4,5.98,424,Brand: Tillamook,https://www.amazon.com,B07HFKM9NX
"Original Beef Sticks by Country Archer, 100% Grass-Fed, Certified Keto, Paleo, Gluten Free, 24 Count, 1 Ounce (Pack of 24)",4.5,38.99,224,Visit the Country Archer Store,https://www.amazon.com,B0762QG6KG
"Jack Link’s Jerky Chew, Original, Shredded Beef Jerky, Made with 100% Beef, 36 Count",4.5,39.59,"1,769",Visit the Jack Links Store,https://www.amazon.com,B000GW46EI
"Jack Link's Beef Jerky, Wild Heat, 9 oz. Bags, 2 Count ‚ Spicy Meat Snack, 10g of Protein and 80 Calories, Made with 100% Premium Beef - 96% Fat Free, No Added MSG or Nitrates/Nitrites",4.4,19.69,942,Visit the Jack Links Store,https://www.amazon.com,B07WRN89M8
"Jack Link’s Zero Sugar Beef Jerky, 7.3 oz. Bag, Pack of 2 – Paleo Friendly Snack with No Artificial Sweeteners, 13g of Protein and 70 Calories per Serving – No Sugar Everyday Snack, Packaging May Vary",4.2,19.95,"3,362",Visit the Jack Links Store,https://www.amazon.com,B07R6V1C1R
"Jacques Biltong - Grass Fed Dried Beef Snack, South African Beef Jerky, Paleo, Keto, and Carnivore Friendly. High Protein, Gluten Free. No Added Nitrates or Preservatives. Original, 1 Pack of 2oz",4,6.99,4,Brand: Jacques Biltong,https://www.amazon.com,B081ZNY1QW
"Jack Link’s Beef Jerky Variety Pack Includes Original and Teriyaki Beef Jerky, Good Source of Protein, 96% Fat Free, No Added MSG, (9 Count of 1.25 oz Bags) 11.25 oz",4.7,13.63,"10,540",Visit the Jack Links Store,https://www.amazon.com,B014ABUQVC
"People's Choice Beef Jerky - Carne Seca - Limón Con Chile - Healthy, Sugar Free, Zero Carb, Gluten Free, Keto Friendly, High Protein Meat Snack - Dry Texture - 1 Pound, 16 oz - 1 Bag",4.3,29.99,"1,011",Brand: People's Choice Beef Jerky,https://www.amazon.com,B0176RRWG4
"Jack Links Premium Cuts Beef Steak, Original, Strips -Great Protein Snack with 11g of Protein and 1g of Carbs per Serving, Made with 100% Premium Beef, 1 Ounce (Pack of 12)",4.6,16.29,"4,828",Visit the Jack Links Store,https://www.amazon.com,B00B9GUZP4
Stryve Foods - Beef Biltong Original - Case of 12-1 Oz,,29.48,,Brand: Stryve Foods,https://www.amazon.com,B07ZPC2LHK
"People's Choice Beef Jerky - Old Fashioned - Original - Healthy, Sugar Free, Zero Carb, Gluten Free, Keto Friendly, High Protein Meat Snack - Dry Texture - 1 Pound, 16 oz - 1 Bag",4.3,29.99,"4,465",Brand: People's Choice Beef Jerky,https://www.amazon.com,B0176REM9E
"Lorissa’s Kitchen Grass Fed Beef Sticks, Jalapeno, 1 oz., Pack of 12 – Made with 100% Grass-Fed Beef, No Added Nitrites or Nitrates - Keto Friendly Snacks, Gluten Free (Packaging May Vary)",4.6,17.99,467,Visit the Lorissa's Kitchen Store,https://www.amazon.com,B074MM5L3C
The Grub Company Kosher Biltong (Original),4.1,10.49,15,Brand: The Grub Company,https://www.amazon.com,B07MW71G26
"Jack Link’s Beef Jerky Variety Pack – Includes Original, Teriyaki, and Peppered Beef Jerky, Great for Lunch Boxes, Good Source of Protein – Pack of 15, 1.25 Oz Bags - 96% Fat Free, No Added MSG",4.7,24.97,"3,073",Visit the Jack Links Store,https://www.amazon.com,B07JL8WLDQ
"Cattleman's Cut Texas Style Flank Steak Beef Jerky, 9 Ounce",4.3,20,"5,312",Visit the Cattleman's Cut Store,https://www.amazon.com,B07J2N44TQ
"Ayoba Spicy Biltong - Grass Fed, Keto and Paleo Certified Beef Snack - Better Than Jerky Tender Steak Cuts - Whole 30 Approved, No Sugar, Gluten Free, No Nitrates (5 Pack, Convenient 1 Ounce Bags)",4.6,21.99,12,Visit the Ayoba Store,https://www.amazon.com,B08CNL52CX
"Tillamook Country Smoker Zero Sugar Original Keto Friendly Beef Jerky, 2.2 Ounce",4.4,,635,Visit the Tillamook Store,https://www.amazon.com,B07HFN13BF
"Jack Link's Beef Snack Sticks, Original, 0.5 Ounce (50 Count) - Great Protein Snack (3g per Meat Stick), Made with 100% Premium Beef, No Added MSG",4.6,24.28,478,Visit the Jack Links Store,https://www.amazon.com,B00Z0XS5D6
"Jack Links Beef Snack Sticks, Original, 27 Count (Pack of 3, 7.2 oz. Bags) – Great Protein Meat Stick with 4g of Protein per Serving, Made with 100% Premium Beef",4.6,14.97,796,Visit the Jack Links Store,https://www.amazon.com,B07ZHWP916
"Jack Link's Pepperoni Beef Snack Sticks Big 9-Pack, 7.2 -Ounce Bag (Pack of 3) & Beef Sticks, Original, 0.92 Ounce (20 Count) - Great Protein Snack, Meat Stick with 5g of Protein",4.4,,"1,057",Visit the Jack Links Store,https://www.amazon.com,B08FRVDLB4
"South African Biltong - Original Recipe: Paleo, Hormone Free, Nitrate/Nitrite Free…",3.9,32.99,9,Brand: THE MEAT EMPIRE,https://www.amazon.com,B07TX55FJ9
"Jack Links Beef Snack Sticks, Original, 27 Count (Pack of 3, 7.2 oz. Bags) – Great Protein Meat Stick with 4g of Protein per Serving & Beef Sticks, Original, 0.92 Ounce (20 Count)",,,,Visit the Jack Links Store,https://www.amazon.com,B08FRMNM1K
Stryve Foods - Beef Biltong Msqt BBQ STK - Case of 12-1 Oz,,29.45,,Brand: Stryve Foods,https://www.amazon.com,B07ZP9S3W8
"Jack Link’s Jalapeno Beef & Cheese Combo Bulk Snack Pack, 1.2 oz., Pack of 64 - 100% Beef Stick and Cheese Stick Made with Real Wisconsin Cheese - 7g Protein",4.5,72.98,"2,323",Visit the Jack Links Store,https://www.amazon.com,B07L7SMK3P
"Jacques Biltong - Spicy, Grass Fed Dried Beef Snack, South African Beef Jerky, Paleo, Keto, and Carnivore Friendly. High Protein, Gluten Free, Sugar Free. No Added Nitrates or Preservatives.",5,6.99,4,Brand: Jacques Biltong,https://www.amazon.com,B0883BZL4Y
"Jack Link’s Jerky Chew, Original, Shredded Beef Jerky, Made with 100% Beef, 36 Count & Beef Sticks, Original, 0.92 Ounce (20 Count) - Great Protein Snack, Meat Stick with 5g of Protein",,,,Visit the Jack Links Store,https://www.amazon.com,B08FRMNLZD
"Stryve Gourmet Beef Biltong, Original, 2.25 Ounce (Pack of 4)",,,,,https://www.amazon.com,B075Q3J6YJ
"Jack Link’s Beef Jerky, Peppered, (2) 9 oz. Bags – Flavorful Everyday Snack with a Pepper Kick, 10g of Protein and 80 Calories & Beef Sticks, Original, 0.92 Ounce (20 Count) - Great Protein Snack",4,,2,Visit the Jack Links Store,https://www.amazon.com,B08FRMYV83
"Jack Link’s Beef Jerky, Original, (2) 9 oz. Bags – Great Everyday Snack, 11g of Protein and 80 Calories & Bacon Jerky, Hickory Smoked, 2.5 oz. Bag – Meat Snack with 11g of Protein",,,,Visit the Jack Links Store,https://www.amazon.com,B08FRMDKZ9
"Jack Links Sweet and Hot Beef Jerky, 2.85 oz, 2.85 oz",4.7,3.99,312,Visit the Jack Links Store,https://www.amazon.com,B01CT6FLAQ
"Jack Link’s Beef Jerky, Teriyaki, (2) 9 oz. Bags – Flavorful Everyday Snack, 10g of Protein and 80 Calories & Beef Sticks, Original, 0.92 Ounce (20 Count), Meat Stick with 5g of Protein",,,,Visit the Jack Links Store,https://www.amazon.com,B08FRNYNG4
"Jack Link’s Beef Jerky, Sweet and Hot, (2) 9 oz. Bags – Flavorful Everyday Snack with Sweet Seasonings and Hot Spices & Beef Sticks, Original, 0.92 Ounce (20 Count) - Great Protein Snack",5,,1 rating,Visit the Jack Links Store,https://www.amazon.com,B08FRRB1V7
"Jack Link's Meat Snacks Beef Jerky, Hickory Smoked, 2.85-Ounce",4,7.99,116,Visit the Jack Links Store,https://www.amazon.com,B00VB1X12G
"Jack Links Tender Bites Bag, Original Beef Steak, 2.85 Ounce",4.3,$5.76 ,48,Visit the Jack Links Store,https://www.amazon.com,B00VB1Y3FK
"Jack Link’s Turkey Jerky, Original, 2.85 oz – Flavorful Meat Snack, 13g of Protein and 80 Calories, Made with 100% Premium Turkey - 98% Fat Free, No Added MSG or Nitrates/Nitrites",4.5,$5.74 ,775,Visit the Jack Links Store,https://www.amazon.com,B00VB1WWB2
